Tiempo,NúmeroJoints,G_parcial
0.000000,4.000000,17.969814
0.010000,4.000000,201.135700
0.020000,4.000000,182.982192
0.030000,4.000000,183.511051
0.040000,4.000000,185.582334
0.050000,4.000000,187.799694
0.060000,4.000000,190.146928
0.070000,4.000000,192.629671
0.080000,4.000000,190.697159
0.090000,4.000000,193.140092
0.100000,4.000000,191.081663
0.110000,4.000000,193.675303
0.120000,4.000000,191.784615
0.130000,4.000000,194.432938
0.140000,4.000000,192.565012
0.150000,4.000000,195.266014
0.160000,4.000000,193.558901
0.170000,4.000000,196.318296
0.180000,4.000000,194.601770
0.190000,4.000000,281.268795
0.200000,4.000000,272.981807
0.210000,4.000000,273.415054
0.220000,4.000000,273.452769
0.230000,4.000000,273.480000
0.240000,4.000000,273.498659
0.250000,4.000000,191.221346
0.260000,4.000000,192.330113
0.270000,4.000000,193.610818
0.280000,4.000000,195.029243
0.290000,4.000000,196.515298
0.300000,4.000000,198.085848
0.310000,4.000000,199.744750
0.320000,4.000000,201.497877
0.330000,4.000000,271.726303
0.340000,4.000000,272.044072
0.350000,4.000000,272.229828
0.360000,4.000000,203.766595
0.370000,4.000000,202.877728
0.380000,4.000000,201.633712
0.390000,4.000000,200.221217
0.400000,4.000000,198.702347
0.410000,4.000000,197.097804
0.420000,4.000000,195.399068
0.430000,4.000000,217.999056
0.440000,4.000000,273.676132
0.450000,4.000000,206.277490
0.460000,4.000000,197.721594
0.470000,4.000000,193.160295
0.480000,4.000000,188.336756
0.490000,4.000000,179.256119
0.500000,4.000000,155.467872
0.510000,4.000000,147.662125
0.520000,4.000000,123.643961
0.530000,4.000000,117.259338
0.540000,4.000000,186.530341
0.550000,4.000000,150.558810
0.560000,4.000000,185.517960
0.570000,4.000000,189.258136
0.580000,4.000000,187.578237
0.590000,4.000000,186.187078
0.600000,4.000000,185.134919
0.610000,4.000000,184.186629
0.620000,4.000000,183.349045
0.630000,4.000000,182.662943
0.640000,4.000000,182.120607
0.650000,4.000000,181.714551
0.660000,4.000000,181.561825
0.670000,4.000000,181.774989
0.680000,4.000000,182.147248
0.690000,4.000000,182.845765
0.700000,4.000000,183.803795
0.710000,4.000000,184.874435
0.720000,4.000000,1210.457154
0.730000,4.000000,949.981626
0.740000,4.000000,735.443035
0.750000,4.000000,559.190025
0.760000,4.000000,414.737568
0.770000,4.000000,296.821227
0.780000,4.000000,242.581405
0.790000,4.000000,220.102946
0.800000,4.000000,202.791874
0.810000,4.000000,215.060626
0.820000,4.000000,225.526898
0.830000,4.000000,232.945648
0.840000,4.000000,237.442623
0.850000,4.000000,239.333841
0.860000,4.000000,238.847838
0.870000,4.000000,236.267422
0.880000,4.000000,231.856298
0.890000,4.000000,225.866897
0.900000,4.000000,218.716084
0.910000,4.000000,210.441587
0.920000,4.000000,201.358040
0.930000,4.000000,191.616443
0.940000,4.000000,181.622031
0.950000,4.000000,182.919245
0.960000,4.000000,183.795594
0.970000,4.000000,184.270953
0.980000,4.000000,184.431971
0.990000,4.000000,184.550963
1.000000,4.000000,184.041909
1.010000,4.000000,183.396580
1.020000,4.000000,182.812791
1.030000,4.000000,182.782753
1.040000,4.000000,181.075242
1.050000,4.000000,180.166663
1.060000,4.000000,179.424457
1.070000,4.000000,178.270993
1.080000,4.000000,177.107952
1.090000,4.000000,175.976165
1.100000,4.000000,174.857767
1.110000,4.000000,173.608089
1.120000,4.000000,172.224387
1.130000,4.000000,170.970182
1.140000,4.000000,169.518951
1.150000,4.000000,1139.829740
1.160000,4.000000,249.214500
1.170000,4.000000,243.691595
1.180000,4.000000,237.924230
1.190000,4.000000,878.711839
1.200000,4.000000,281.788832
1.210000,4.000000,278.868460
1.220000,4.000000,276.139547
1.230000,4.000000,273.461310
1.240000,4.000000,270.836463
1.250000,4.000000,124.144870
1.260000,4.000000,164.070919
1.270000,4.000000,166.762090
1.280000,4.000000,169.014880
1.290000,4.000000,170.949277
1.300000,4.000000,172.593444
1.310000,4.000000,173.979835
1.320000,4.000000,175.128557
1.330000,4.000000,176.110606
1.340000,4.000000,176.798132
1.350000,4.000000,177.310828
1.360000,4.000000,177.704675
1.370000,4.000000,177.941932
1.380000,4.000000,178.037050
1.390000,4.000000,178.001158
1.400000,4.000000,177.844365
1.410000,4.000000,177.497165
1.420000,4.000000,226.050576
1.430000,4.000000,216.289633
1.440000,4.000000,175.136170
1.450000,4.000000,176.316886
1.460000,4.000000,146.323188
1.470000,4.000000,149.896373
1.480000,4.000000,149.718070
1.490000,4.000000,149.231755
1.500000,4.000000,148.607831
1.510000,4.000000,147.923200
1.520000,4.000000,147.165381
1.530000,4.000000,146.342942
1.540000,4.000000,145.463423
1.550000,4.000000,144.533520
1.560000,4.000000,143.559207
1.570000,4.000000,142.545825
1.580000,4.000000,141.498172
1.590000,4.000000,140.420568
1.600000,4.000000,139.316915
1.610000,4.000000,138.190749
1.620000,4.000000,137.045283
1.630000,4.000000,135.883442
1.640000,4.000000,134.707895
1.650000,4.000000,133.521085
1.660000,4.000000,132.438059
1.670000,4.000000,131.262253
1.680000,4.000000,130.066379
1.690000,4.000000,128.851097
1.700000,4.000000,127.625573
1.710000,4.000000,126.395962
1.720000,4.000000,125.166367
1.730000,4.000000,123.939578
1.740000,4.000000,122.717544
1.750000,4.000000,121.501680
1.760000,4.000000,120.293051
1.770000,4.000000,119.092501
1.780000,4.000000,117.900723
1.790000,4.000000,116.718313
1.800000,4.000000,115.545792
1.810000,4.000000,114.383630
1.820000,4.000000,113.232253
1.830000,4.000000,112.092053
1.840000,4.000000,110.963390
1.850000,4.000000,109.846594
1.860000,4.000000,108.741968
1.870000,4.000000,107.649789
1.880000,4.000000,106.570306
1.890000,4.000000,205.250799
1.900000,4.000000,170.929970
1.910000,4.000000,142.013478
1.920000,4.000000,79.769564
1.930000,4.000000,77.865391
1.940000,4.000000,58.535845
1.950000,4.000000,48.918954
1.960000,4.000000,60.570766
1.970000,4.000000,69.958456
1.980000,4.000000,77.481178
1.990000,4.000000,83.468268
2.000000,4.000000,88.191476
2.010000,4.000000,91.875040
2.020000,4.000000,94.704001
2.030000,4.000000,96.831058
2.040000,4.000000,98.382217
2.050000,4.000000,99.461455
2.060000,4.000000,100.154572
2.070000,4.000000,100.532359
2.080000,4.000000,100.653224
2.090000,4.000000,100.565349
2.100000,4.000000,100.308473
2.110000,4.000000,99.915370
2.120000,4.000000,99.809429
2.130000,4.000000,97.908729
2.140000,4.000000,97.428670
2.150000,4.000000,95.756405
2.160000,4.000000,95.948669
2.170000,4.000000,95.336759
2.180000,4.000000,93.555942
2.190000,4.000000,93.643528
2.200000,4.000000,92.963432
2.210000,4.000000,91.151119
2.220000,4.000000,91.197660
2.230000,4.000000,90.500758
2.240000,4.000000,93.798508
2.250000,4.000000,88.772898
2.260000,4.000000,88.021821
2.270000,4.000000,87.326248
2.280000,4.000000,90.564283
2.290000,4.000000,85.631601
2.300000,4.000000,84.908297
2.310000,4.000000,84.244685
2.320000,4.000000,83.571461
2.330000,4.000000,81.850582
2.340000,4.000000,81.922211
2.350000,4.000000,81.306917
2.360000,4.000000,80.685710
2.370000,4.000000,80.060001
2.380000,4.000000,79.433882
2.390000,4.000000,82.589708
2.400000,4.000000,77.934768
2.410000,4.000000,77.321207
2.420000,4.000000,76.770048
2.430000,4.000000,76.214640
2.440000,4.000000,75.658781
2.450000,4.000000,75.105284
2.460000,4.000000,74.556156
2.470000,4.000000,74.012834
2.480000,4.000000,73.476354
2.490000,4.000000,72.947458
2.500000,4.000000,72.426678
2.510000,4.000000,71.914389
2.520000,4.000000,71.410845
2.530000,4.000000,70.916214
2.540000,4.000000,70.430593
2.550000,4.000000,69.954026
2.560000,4.000000,69.486516
2.570000,4.000000,69.028032
2.580000,4.000000,68.578517
2.590000,4.000000,68.137896
2.600000,4.000000,67.706075
2.610000,4.000000,67.282949
2.620000,4.000000,66.868403
2.630000,4.000000,66.462314
2.640000,4.000000,66.064554
2.650000,4.000000,65.674989
2.660000,4.000000,65.293484
2.670000,4.000000,64.919899
2.680000,4.000000,64.554096
2.690000,4.000000,64.195934
2.700000,4.000000,63.845274
2.710000,4.000000,63.501975
2.720000,4.000000,63.165898
2.730000,4.000000,62.836904
2.740000,4.000000,62.514857
2.750000,4.000000,62.199622
2.760000,4.000000,61.891065
2.770000,4.000000,61.589052
2.780000,4.000000,61.293455
2.790000,4.000000,61.004144
2.800000,4.000000,60.720994
2.810000,4.000000,60.443879
2.820000,4.000000,275.631525
2.830000,4.000000,336.124267
2.840000,4.000000,360.000000
2.850000,4.000000,360.000000
2.860000,4.000000,360.000000
2.870000,4.000000,298.514349
2.880000,4.000000,346.690128
2.890000,4.000000,299.911434
2.900000,4.000000,349.928662
2.910000,4.000000,270.511598
2.920000,4.000000,360.000000
2.930000,4.000000,279.045050
2.940000,4.000000,304.050066
2.950000,4.000000,360.000000
2.960000,4.000000,360.000000
2.970000,4.000000,360.000000
2.980000,4.000000,360.000000
2.990000,4.000000,321.978193
3.000000,4.000000,360.000000
3.010000,4.000000,281.950423
3.020000,4.000000,272.811425
3.030000,4.000000,314.532170
3.040000,4.000000,360.000000
3.050000,4.000000,360.000000
3.060000,4.000000,360.000000
3.070000,4.000000,360.000000
3.080000,4.000000,350.102322
3.090000,4.000000,360.000000
3.100000,4.000000,360.000000
3.110000,4.000000,360.000000
3.120000,4.000000,295.952832
3.130000,4.000000,360.000000
3.140000,4.000000,360.000000
3.150000,4.000000,360.000000
3.160000,4.000000,279.369911
3.170000,4.000000,313.901344
3.180000,4.000000,306.055318
3.190000,4.000000,360.000000
3.200000,4.000000,338.620197
3.210000,4.000000,360.000000
3.220000,4.000000,324.035293
3.230000,4.000000,360.000000
3.240000,4.000000,316.050729
3.250000,4.000000,345.918665
3.260000,4.000000,271.372349
3.270000,4.000000,308.676351
3.280000,4.000000,304.681093
3.290000,4.000000,360.000000
3.300000,4.000000,360.000000
3.310000,4.000000,360.000000
3.320000,4.000000,284.687680
3.330000,4.000000,342.549448
3.340000,4.000000,360.000000
3.350000,4.000000,294.422309
3.360000,4.000000,336.333199
3.370000,4.000000,360.000000
3.380000,4.000000,351.303690
3.390000,4.000000,334.872129
3.400000,4.000000,279.329267
3.410000,4.000000,360.000000
3.420000,4.000000,360.000000
3.430000,4.000000,344.023782
3.440000,4.000000,360.000000
3.450000,4.000000,303.348842
3.460000,4.000000,360.000000
3.470000,4.000000,354.580384
3.480000,4.000000,360.000000
3.490000,4.000000,349.631723
3.500000,4.000000,360.000000
3.510000,4.000000,360.000000
3.520000,4.000000,360.000000
3.530000,4.000000,287.237266
3.540000,4.000000,360.000000
3.550000,4.000000,336.189443
3.560000,4.000000,359.293398
3.570000,4.000000,208.049390
3.580000,4.000000,360.000000
3.590000,4.000000,280.932384
3.600000,4.000000,272.504330
3.610000,4.000000,300.603855
3.620000,4.000000,273.304028
3.630000,4.000000,360.000000
3.640000,4.000000,356.194868
3.650000,4.000000,360.000000
3.660000,4.000000,280.034201
3.670000,4.000000,360.000000
3.680000,4.000000,337.455277
3.690000,4.000000,269.032974
3.700000,4.000000,236.864593
3.710000,4.000000,304.906938
3.720000,4.000000,290.042244
3.730000,4.000000,300.578746
3.740000,4.000000,280.018094
3.750000,4.000000,342.465634
3.760000,4.000000,360.000000
3.770000,4.000000,330.980418
3.780000,4.000000,310.264835
3.790000,4.000000,243.339607
3.800000,4.000000,297.267563
3.810000,4.000000,360.000000
3.820000,4.000000,310.979950
3.830000,4.000000,270.834119
3.840000,4.000000,256.324816
3.850000,4.000000,356.672117
3.860000,4.000000,276.862166
3.870000,4.000000,337.897450
3.880000,4.000000,360.000000
3.890000,4.000000,217.541462
3.900000,4.000000,274.038308
3.910000,4.000000,223.614506
3.920000,4.000000,340.044617
3.930000,4.000000,360.000000
3.940000,4.000000,289.799625
3.950000,4.000000,338.733381
3.960000,4.000000,279.117999
3.970000,4.000000,286.781982
3.980000,4.000000,350.804864
3.990000,4.000000,360.000000
4.000000,4.000000,352.231903
4.010000,4.000000,360.000000
4.020000,4.000000,292.847050
4.030000,4.000000,324.911837
4.040000,4.000000,324.831944
4.050000,4.000000,269.743058
4.060000,4.000000,263.080611
4.070000,4.000000,298.016484
4.080000,4.000000,360.000000
4.090000,4.000000,277.773766
4.100000,4.000000,224.765442
4.110000,4.000000,289.004326
4.120000,4.000000,331.382495
4.130000,4.000000,360.000000
4.140000,4.000000,279.613265
4.150000,4.000000,335.337513
4.160000,4.000000,286.316085
4.170000,4.000000,218.215733
4.180000,4.000000,319.605240
4.190000,4.000000,289.892644
4.200000,4.000000,294.828156
4.210000,4.000000,360.000000
4.220000,4.000000,344.142524
4.230000,4.000000,287.431303
4.240000,4.000000,282.152130
4.250000,4.000000,289.591511
4.260000,4.000000,360.000000
4.270000,4.000000,343.559646
4.280000,4.000000,360.000000
4.290000,4.000000,314.990978
4.300000,4.000000,360.000000
4.310000,4.000000,360.000000
4.320000,4.000000,291.049741
4.330000,4.000000,318.655769
4.340000,4.000000,274.728083
4.350000,4.000000,319.374727
4.360000,4.000000,337.224558
4.370000,4.000000,360.000000
4.380000,4.000000,305.413501
4.390000,4.000000,360.000000
4.400000,4.000000,360.000000
4.410000,4.000000,360.000000
4.420000,4.000000,300.615057
4.430000,4.000000,318.722980
4.440000,4.000000,336.940284
4.450000,4.000000,297.943963
4.460000,4.000000,360.000000
4.470000,4.000000,360.000000
4.480000,4.000000,315.428358
4.490000,4.000000,360.000000
4.500000,4.000000,360.000000
4.510000,4.000000,276.979110
4.520000,4.000000,270.840632
4.530000,4.000000,205.854242
4.540000,4.000000,319.999926
4.550000,4.000000,360.000000
4.560000,4.000000,360.000000
4.570000,4.000000,360.000000
4.580000,4.000000,347.166473
4.590000,4.000000,359.917799
4.600000,4.000000,315.690969
4.610000,4.000000,352.830572
4.620000,4.000000,279.474353
4.630000,4.000000,340.846948
4.640000,4.000000,360.000000
4.650000,4.000000,298.592771
4.660000,4.000000,353.625692
4.670000,4.000000,360.000000
4.680000,4.000000,269.422191
4.690000,4.000000,318.185619
4.700000,4.000000,360.000000
4.710000,4.000000,360.000000
4.720000,4.000000,353.598952
4.730000,4.000000,301.644845
4.740000,4.000000,324.659577
4.750000,4.000000,360.000000
4.760000,4.000000,360.000000
4.770000,4.000000,350.386614
